0	51
1	162
1	29
1	298
1	286
2	44
2	70
3	265
3	163
4	245
4	185
4	240
5	138
5	70
6	231
6	35
6	174
7	16
8	282
8	200
8	62
8	11
8	85
8	195
8	130
8	171
9	29
9	150
9	270
9	199
9	256
9	2
9	272
9	4
9	223
10	116
11	121
11	227
12	49
12	170
12	35
14	202
14	15
14	213
14	299
14	132
15	33
15	95
15	78
16	107
16	214
16	175
16	235
17	156
17	18
17	11
18	147
18	147
18	56
18	201
18	269
19	57
20	261
20	27
20	72
21	66
21	144
21	170
21	195
21	46
22	245
22	284
22	101
22	247
22	70
22	184
22	226
22	280
23	228
23	91
23	152
23	29
23	16
23	262
25	70
25	203
25	175
26	19
26	150
26	69
26	101
26	110
26	194
26	28
27	63
28	214
28	128
29	28
29	138
30	191
31	47
31	110
32	230
32	300
33	75
33	138
33	18
33	207
34	212
34	56
34	39
34	113
34	195
34	258
34	51
34	30
35	33
35	57
36	136
36	153
36	185
36	153
37	260
37	227
38	227
38	30
39	223
39	299
39	295
39	285
40	260
40	138
40	70
41	120
41	154
41	151
41	32
42	6
42	132
42	38
42	142
43	194
43	256
43	57
43	45
44	203
44	72
44	149
44	73
45	30
45	227
45	72
45	140
46	278
46	216
46	128
47	191
47	199
47	194
48	47
49	167
50	3
50	271
50	264
51	82
51	267
52	43
52	213
52	259
53	224
53	153
53	54
53	254
53	290
53	132
53	130
54	42
54	36
54	81
54	134
55	89
55	61
56	127
56	124
57	224
57	76
58	231
59	129
59	100
59	164
59	83
60	15
60	214
60	280
61	127
62	116
62	140
62	227
63	274
63	140
63	287
64	15
64	72
64	233
64	212
64	25
64	191
65	111
65	236
66	49
66	45
66	79
66	124
66	163
66	229
66	161
67	163
67	31
68	40
68	95
68	233
69	166
69	214
69	265
69	54
70	292
70	121
70	227
70	129
70	94
70	185
70	57
71	230
71	231
71	12
71	43
71	236
72	108
72	197
72	188
72	1
72	248
73	138
73	182
73	217
73	143
73	180
74	296
74	293
74	255
74	238
75	207
75	216
76	194
76	142
76	159
77	252
77	24
78	49
78	206
78	41
78	246
78	93
80	189
80	66
80	133
81	219
81	9
81	21
82	38
82	278
83	91
83	278
83	93
83	298
84	155
84	181
84	198
85	289
86	3
86	158
86	224
86	179
86	209
86	17
87	265
87	144
87	93
87	22
89	3
89	213
89	248
90	71
90	133
90	222
90	228
90	239
90	231
91	195
91	207
91	183
92	203
93	94
93	129
93	267
93	272
94	53
94	221
94	201
94	118
94	263
95	190
95	46
95	85
96	263
97	268
97	103
97	12
98	294
98	24
99	253
99	155
100	240
100	19
100	155
100	104
100	265
100	52
100	176
101	112
101	31
101	202
101	32
102	193
102	155
102	175
102	227
102	75
103	106
104	133
104	272
104	255
104	90
105	246
105	166
105	231
106	148
106	238
106	290
107	168
107	164
107	41
108	190
108	149
108	87
108	153
108	48
109	88
109	82
109	55
110	296
110	265
110	213
110	257
112	203
112	177
112	270
112	30
112	104
112	261
113	42
113	72
114	3
114	81
114	18
115	59
115	168
115	230
116	140
116	2
116	207
116	130
117	151
117	127
118	109
118	20
119	209
120	25
120	109
120	203
120	260
120	13
120	178
121	125
121	115
123	58
124	138
124	207
125	203
125	228
125	256
126	184
126	210
126	177
126	267
126	73
127	23
127	105
128	245
129	71
129	180
129	97
129	61
130	245
130	147
130	24
130	159
131	130
131	103
131	99
131	163
131	79
132	41
133	135
133	256
133	55
133	155
133	236
134	133
134	68
134	204
134	252
135	261
135	159
135	241
135	258
136	92
136	197
136	107
136	38
137	15
